id,title,year,doi,arxiv,publication_status,fulltext_scoped_read,source_url,fulltext_url,implementation_status,read_scope,previous_read_scope,fulltext_read_scope
safety-2410.15119,Mean field LQG social optimization: A reinforcement learning approach,2025,10.1016/j.automatica.2024.111924,2410.15119,Published in Automatica; author manuscript read,True,https://arxiv.org/abs/2410.15119,https://arxiv.org/pdf/2410.15119v1,implemented_method_variant,v0.3：arXiv:2410.15119v1完整16页，含§1-5、数值参数/Tables1-2/Figs2-3、Appendix A和参考文献；p9与p13另作图像核对。完整阅读不等于全部证明独立成立。,"{""sections"": [""§2 problem formulation"", ""§3.1 model-based PI"", ""§3.2 data-driven PI"", ""§3.3 decentralized control synthesis""], ""pdf_pages"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""equations"": [""(1)-(8)"", ""(25)-(32)"", ""(41)-(42)""], ""algorithms"": [""Algorithm 1""], ""theorems"": [""Definitions 2.1-2.5"", ""Assumptions A1-A4"", ""Assumptions 3.1 and 3.2"", ""Theorems 3.1 and 3.2""], ""not_read"": ""Remaining numerical section and every detailed proof not independently re-derived.""}","{""review_date"": ""2026-09-07"", ""repository_version"": ""0.3.0"", ""summary"": ""v0.3：arXiv:2410.15119v1完整16页，含§1-5、数值参数/Tables1-2/Figs2-3、Appendix A和参考文献；p9与p13另作图像核对。完整阅读不等于全部证明独立成立。"", ""documents"": [{""version"": ""arXiv:2410.15119v1 author preprint"", ""url"": ""https://arxiv.org/pdf/2410.15119v1"", ""pages"": 16, ""coverage"": ""全部页面；两组模型PI、数据PI、平均场两支路、数值与附录"", ""sha256"": ""a50e13845db320f9a8575b8cead71ac9be3f3a1004fa120ccbcc06a44947db6f""}], ""appendices_read"": [""A""], ""card"": ""docs/fulltext/meanfield_lqg2025.md"", ""verification_limit"": ""Reading coverage is not a claim that every proof, quoted result, or theoretical hypothesis was independently verified.""}"
safety-2409.10703,Direct Data-Driven Discounted Infinite Horizon Linear Quadratic Regulator with Robustness Guarantees,2024,,2409.10703,arXiv preprint; journal publication not verified,True,https://arxiv.org/abs/2409.10703,https://arxiv.org/pdf/2409.10703v2,not_implemented,"{""sections"": [""§2 discounted stochastic LQR formulation"", ""§3 data parameterization"", ""§4 direct design and robustness bounds""], ""pdf_pages"": [3, 4, 5, 6, 7, 9, 10, 11], ""equations"": [""(1)-(9)"", ""(23)-(32)"", ""(41)-(47)""], ""theorems"": [""Assumption 1"", ""data rank assumption (26)"", ""Theorem 1"", ""Theorem 2""], ""not_read"": ""Page 8 only partially inspected; numerical results not reproduced and proofs not independently validated.""}",,
safety-2409.10767,Ergodic-risk Criterion for Stochastically Stabilizing Policy Optimization,2024,,2409.10767,arXiv preprint v3; no journal/accepted conference reference verified,True,https://arxiv.org/abs/2409.10767,https://arxiv.org/pdf/2409.10767v3,not_implemented,"{""sections"": [""§2 stochastic LQR and ergodic-risk formulation"", ""§3 opening stability/limit theorem"", ""§4 constrained optimization and duality"", ""§5 Algorithm 5.1 and convergence""], ""pdf_pages"": [1, 2, 3, 4, 5, 6, 16, 17, 18, 19], ""equations"": [""(2.1)-(2.6)"", ""(4.1)-(4.5)""], ""theorems"": [""Assumptions 3.1-3.2, 4.1, 4.3"", ""Theorem 3.3"", ""Propositions 4.2, 4.4 and 5.1""], ""algorithms"": [""Algorithm 5.1""], ""not_read"": ""Intervening general Markov-chain limit-theorem proofs and full simulations not read exhaustively.""}",,
safety-2403.11345,Independent RL for Cooperative-Competitive Agents: A Mean-Field Perspective,2024,,2403.11345,arXiv preprint v2; formal venue not verified,True,https://arxiv.org/abs/2403.11345,https://arxiv.org/pdf/2403.11345,not_implemented,"{""sections"": [""§2 setup/equilibrium"", ""§3 MRNPG construction"", ""§4 convergence""], ""pdf_pages"": [4, 5, 6, 7, 8, 9, 10, 11], ""equations"": [""(2.1)-(2.8)"", ""(3.1)-(3.8)""], ""theorems"": [""Theorems 2.2 and 2.3"", ""Assumption 4.3"", ""Theorems 4.5 and 4.6""], ""algorithms"": [""Algorithm 3.1""], ""not_read"": ""Long appendices, including sample-path oracle extension in Appendix J, not fully read.""}",,
safety-2607.03168,Entropy Regularization Improves Policy Robustness in Continuous-Time Reinforcement Learning,2026,,2607.03168,arXiv preprint v1,True,https://arxiv.org/abs/2607.03168,https://arxiv.org/pdf/2607.03168,not_implemented,"{""sections"": [""§2 finite CTMDP setup"", ""§3.1 reward-perturbation connection; introduction distinctions for joint perturbations""], ""pdf_pages"": [1, 2, 3, 4], ""equations"": [""(2.1)""], ""theorems"": [""Theorem 3.1""], ""not_read"": ""Later joint-perturbation proofs and numerical section not fully read; only claim framing inspected.""}",,
safety-2404.03017,Distributionally Robust Policy and Lyapunov-Certificate Learning,2024,10.1109/OJCSYS.2024.3440051,2404.03017,Published in IEEE Open Journal of Control Systems; accepted author manuscript read,True,https://arxiv.org/abs/2404.03017,https://arxiv.org/pdf/2404.03017,not_implemented,"{""sections"": [""§IV problem formulation"", ""§V distributionally robust constraints and stability"", ""§VI learning and guarantee boundaries""], ""pdf_pages"": [3, 4, 5, 6, 7, 8, 9], ""equations"": [""(4)-(11)"", ""(16)-(19)"", ""(27)-(40)""], ""theorems"": [""Lemmas V.2 and V.3"", ""Remark V.5"", ""Proposition V.6"", ""Assumption 1"", ""Proposition VI.5"", ""Remarks VI.6 and VI.7""], ""not_read"": ""Numerical comparison section and all proofs not independently revalidated."", ""visual_verification"": {""pdf_page"": 8, ""focus"": ""Eq.(30) aggregation placement and Proposition VI.5 claim/proof""}}",,
safety-2410.11022,Action Gaps and Advantages in Continuous-Time Distributional Reinforcement Learning,2024,10.52202/079017-1515,2410.11022,Published in NeurIPS 2024 proceedings; arXiv author fulltext read,True,https://arxiv.org/abs/2410.11022,https://arxiv.org/pdf/2410.11022,not_implemented,"{""sections"": [""§2 SDE/return-law formulation"", ""§3 action-gap collapse"", ""§4 superiority and algorithm""], ""pdf_pages"": [2, 3, 4, 5, 6, 7, 8], ""equations"": [""(2.1)-(2.7)"", ""(4.1)-(4.5)""], ""theorems"": [""Assumptions 2.2 and 2.3"", ""Theorems 3.5-3.7 and 4.3-4.8""], ""algorithms"": [""Algorithm 1""], ""not_read"": ""Full appendix proofs, Algorithm 2/3 details and trading experiment not read exhaustively.""}",,
quadrature-iclr2024,Impact of Computation in Integral Reinforcement Learning for Continuous-Time Control,2024,,2402.17375v1,published_conference,True,https://arxiv.org/abs/2402.17375,https://arxiv.org/pdf/2402.17375v1,not_implemented,全文正文 PDF pp.1–10；重点 §2–3、Theorems 2–3、Corollary 1；附录证明未逐行复核,,
safe-hjb-icml2025,A Physics-Informed Machine Learning Framework for Safe and Optimal Control of Autonomous Systems,2025,,,published_conference,True,https://proceedings.mlr.press/v267/tayal25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/tayal25a/tayal25a.pdf,implemented_reduced_variant,v0.3：ICML/PMLR正式PDF全22页，正文、Appendix A统计推导、Appendix B三组系统及Appendix C实验配置；仅实现/运行船舶场景，未称全部证明或全部系统已复现。,PDF正文 pp.1–8；重点 §2 epigraph/HJB-VI、§3.1–3.4、Theorems 3.1–3.2；附录未完整证明审计,"{""review_date"": ""2026-09-07"", ""repository_version"": ""0.3.0"", ""summary"": ""v0.3：ICML/PMLR正式PDF全22页，正文、Appendix A统计推导、Appendix B三组系统及Appendix C实验配置；仅实现/运行船舶场景，未称全部证明或全部系统已复现。"", ""documents"": [{""version"": ""PMLR 267 official paper"", ""url"": ""https://raw.githubusercontent.com/mlresearch/v267/main/assets/tayal25a/tayal25a.pdf"", ""pages"": 22, ""coverage"": ""正文、Appendix A-C、参考文献"", ""sha256"": ""68fcf87efc8366660614b943c0ed9c2ae24ce4b35d46ac821b7a1126305d0d4b""}], ""appendices_read"": [""A"", ""B"", ""C""], ""card"": ""docs/fulltext/safe_pinn_icml2025.md"", ""verification_limit"": ""Reading coverage is not a claim that every proof, quoted result, or theoretical hypothesis was independently verified.""}"
koopman-l4dc2025,Data-driven optimal control of unknown nonlinear dynamical systems using the Koopman operator,2025,,,published_conference,True,https://proceedings.mlr.press/v283/zeng25a.html,https://raw.githubusercontent.com/mlresearch/v283/main/assets/zeng25a/zeng25a.pdf,implemented_method_variant,v0.3：正式版PDF全13页；证明预印本的方法/实验与附录A完整阅读（预印本16页）。已检查关键证明条件，不表示全部证明或所引用定理获独立验证。,PDF正文 pp.1–9；重点 §2、§4.1–4.4、§5/Theorem 6、Remark 5；正文指向的预印本证明未逐行复核,"{""review_date"": ""2026-09-07"", ""repository_version"": ""0.3.0"", ""summary"": ""v0.3：正式版PDF全13页；证明预印本的方法/实验与附录A完整阅读（预印本16页）。已检查关键证明条件，不表示全部证明或所引用定理获独立验证。"", ""documents"": [{""version"": ""PMLR 283 official paper, 13 PDF pages"", ""url"": ""https://raw.githubusercontent.com/mlresearch/v283/main/assets/zeng25a/zeng25a.pdf"", ""pages"": 13, ""coverage"": ""完整正文、实验、参考文献"", ""sha256"": ""93ac325b77e6fa5b65c160030b739a693d437a1032ab5c8f352cab0035f6e8a8""}, {""version"": ""arXiv:2412.01085v1, 16 PDF pages"", ""url"": ""https://arxiv.org/pdf/2412.01085v1"", ""pages"": 16, ""coverage"": ""方法与实验部分、附录A全部证明，重点Eq(43)-(65)及无穷尾项/导数误差条件"", ""sha256"": ""fc39445c97509ed9cd0dbf1eb3a0a4d4480fa6a89a8f82b27c4062eefd7158ff""}], ""appendices_read"": [""proof preprint Appendix A""], ""card"": ""docs/fulltext/koopman_l4dc2025.md"", ""verification_limit"": ""Reading coverage is not a claim that every proof, quoted result, or theoretical hypothesis was independently verified.""}"
kae-lspi-2026,Automatic feature identification in least-squares policy iteration using the Koopman operator framework,2026,,2603.26464v1,preprint,True,https://arxiv.org/abs/2603.26464,https://arxiv.org/pdf/2603.26464v1,not_implemented,PDF全6页；重点 §II LSTDQ、§III Eq.12/Algorithms 1–2、§V未解决问题,,
robust-koopman-2026,Optimality Robustness in Koopman-Based Control,2026,,2604.05633v2,preprint,True,https://arxiv.org/abs/2604.05633,https://arxiv.org/pdf/2604.05633v2,implemented_method_variant,v0.3：arXiv:2604.05633v2完整16页，含正文、实验、参考文献及附录A-D；核对标量控制分支、正则化PDE与误差界前提，不表示全部证明成立。,PDF正文 pp.1–13；Assumptions 1–6、§4、Algorithm 1/Theorem 4、Remark 5–7；附录未逐行复核,"{""review_date"": ""2026-09-07"", ""repository_version"": ""0.3.0"", ""summary"": ""v0.3：arXiv:2604.05633v2完整16页，含正文、实验、参考文献及附录A-D；核对标量控制分支、正则化PDE与误差界前提，不表示全部证明成立。"", ""documents"": [{""version"": ""arXiv:2604.05633v2"", ""url"": ""https://arxiv.org/pdf/2604.05633v2"", ""pages"": 16, ""coverage"": ""完整正文、实验、参考文献及附录A-D"", ""sha256"": ""db8599960b7c4ff4978a0b251ee5982dc7b6b754b8a2f0d144df1f0afb9aae13""}], ""appendices_read"": [""A"", ""B"", ""C"", ""D""], ""card"": ""docs/fulltext/robust_koopman2026.md"", ""verification_limit"": ""Reading coverage is not a claim that every proof, quoted result, or theoretical hypothesis was independently verified.""}"
finite-horizon-pinn-2025,A Physics-Informed Learning Framework to Solve the Infinite-Horizon Optimal Control Problem,2025,10.1002/rnc.70028,2505.21842v1,published_journal,True,https://onlinelibrary.wiley.com/doi/10.1002/rnc.70028,https://arxiv.org/pdf/2505.21842v1,implemented_method_variant,v0.3：arXiv:2505.21842v1完整18页，正文§1-7、全部内嵌证明、三个算例及参考文献；该版无单列附录。完整阅读与数值核查不等于全部收敛证明已验证。,作者预印本PDF pp.1–12；§2–5、Theorems 1–3/Algorithm 1；出版信息另核对Wiley,"{""review_date"": ""2026-09-07"", ""repository_version"": ""0.3.0"", ""summary"": ""v0.3：arXiv:2505.21842v1完整18页，正文§1-7、全部内嵌证明、三个算例及参考文献；该版无单列附录。完整阅读与数值核查不等于全部收敛证明已验证。"", ""documents"": [{""version"": ""arXiv:2505.21842v1 author preprint"", ""url"": ""https://arxiv.org/pdf/2505.21842v1"", ""pages"": 18, ""coverage"": ""完整正文、内嵌证明、三个算例、参考文献"", ""sha256"": ""fd061724a82bb8cf853529cca41060d1f9208125912833dffbf8ea0de62d6e28""}], ""appendices_read"": [], ""card"": ""docs/fulltext/pinn_infinite_horizon2025.md"", ""verification_limit"": ""Reading coverage is not a claim that every proof, quoted result, or theoretical hypothesis was independently verified.""}"
zhang-jiang-zhou-nonlinear-bias-pi-2026,Adaptive dynamic programming for unknown continuous-time nonlinear systems via bias-policy iteration,2026,10.1016/j.automatica.2026.112821,,"Automatica 185 (March 2026), article 112821；正式发表书目已由 Crossref 与出版社核对。",True,https://www.sciencedirect.com/science/article/pii/S0005109826000051,https://www.sciencedirect.com/science/article/pii/S0005109826000051,implemented_method_variant,v0.4：出版社正式版完整13页，§1–5、Algorithm 1–2、Lemma 1–4/Theorem 1–4、两算例及参考文献；关键回归/算法和参数表另作图像核对。,"[""出版社搜索索引可见的 Abstract 与 Introduction；包括论文组织说明。"", ""Crossref 正式书目和 Elsevier coredata XML。"", ""作者 Bin Zhou 的 HIT 主页仅显示基本资料，本次可读页面没有论文正文链接。""]",
safety-2608.17940,Policy Iteration for Linear-Quadratic Stochastic Differential Games with State- and Control-Dependent Noise,2026,,2608.17940,arXiv preprint v1; no formal journal or conference acceptance verified,True,https://arxiv.org/abs/2608.17940,https://arxiv.org/pdf/2608.17940v1,not_implemented,"{""sections"": [""§II Problem Formulation"", ""§III Sequential Policy Iteration"", ""§IV.A local derivative and convergence"", ""§IV.B-C update order"", ""§IV Theorem 2 and Corollaries 1-2 statements"", ""§V Homotopy Initialization""], ""pdf_pages"": [2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13], ""equations"": [""(1)-(16)"", ""(19)-(30)"", ""(38)-(46)"", ""(53)-(56)"", ""(75)-(76)"", ""(88)-(93)"", ""(94)-(128)""], ""theorems"": [""Assumption 1"", ""Definitions 1-2"", ""Lemma 1"", ""Theorem 1"", ""Proposition 1"", ""Lemmas 3-6"", ""Theorem 2"", ""Corollaries 1-2"", ""Lemmas 7-10"", ""Theorem 3""], ""algorithms"": [""Algorithm 1 Sequential PI"", ""Algorithm 2 Homotopy Initialization""], ""visual_verification"": {""pdf_page"": 12, ""focus"": ""Algorithm 2 inner PI convergence, shifted dynamics, homotopy increment and Theorem 3 scope""}, ""not_read"": ""§IV.D full block-operator derivation, full numerical plots and appendices not exhaustively read; no algorithm execution or independent proof certification.""}",,
lopez-alsalti-muller-tac2023,Efficient Off-Policy Q-Learning for Data-Based Discrete-Time LQR Problems,2023,10.1109/TAC.2023.3235967,2105.07761,"IEEE TAC 68(5):2922-2933, 2023; author preprint v3 read",True,https://doi.org/10.1109/TAC.2023.3235967,https://arxiv.org/pdf/2105.07761v3,implemented_method_variant,v0.3：arXiv:2105.07761v3完整12页，含§I-IX、噪声分析、对照实验及参考文献；PDF p5矩阵式(29)另作图像核对。未把全部理论保证解释为有限噪声数据的自动证书。,"[""I-IX and references; PDF p5 equation checked visually""]","{""review_date"": ""2026-09-07"", ""repository_version"": ""0.3.0"", ""summary"": ""v0.3：arXiv:2105.07761v3完整12页，含§I-IX、噪声分析、对照实验及参考文献；PDF p5矩阵式(29)另作图像核对。未把全部理论保证解释为有限噪声数据的自动证书。"", ""documents"": [{""version"": ""arXiv:2105.07761v3 author preprint"", ""url"": ""https://arxiv.org/pdf/2105.07761v3"", ""pages"": 12, ""coverage"": ""§I-IX与参考文献、所有本次实现相关证明/矩阵恒等式"", ""sha256"": ""9dc6f6eddd94697607917033ce2026e5b2b9eb6288991bee883b8a52736aa54d""}], ""appendices_read"": [], ""card"": ""docs/fulltext/qlearning_tac2023.md"", ""verification_limit"": ""Reading coverage is not a claim that every proof, quoted result, or theoretical hypothesis was independently verified.""}"
